Date and Time of initial call,Borough,Property,Location,Species Description,Species Status,Animal Condition,Animal Class,Final Ranger Action,# of Animals,Year,full_address
2022-06-09 17:30:00,Brooklyn,Prospect Park,West end of lake,mute swan,Invasive,Injured,Birds,Unfounded,0.0,2022,"Prospect Park, Brooklyn, NY"
2022-06-09 17:30:00,Manhattan,Arsenal North,Cardinal Cooke Building,red-tailed hawk,Native,Healthy,Raptors,Monitored Animal,1.0,2022,"Arsenal North, Manhattan, NY"
2022-06-09 21:00:00,Staten Island,Wolfe's Pond Park,Hockey Rink,bird (unknown),Native,Injured,Birds,Unfounded,0.0,2022,"Wolfe's Pond Park, Staten Island, NY"
2022-06-10 08:30:00,Staten Island,Wolfe's Pond Park,pond on Holten avenue entrance,mute swan,Invasive,Injured,Birds,Rehabilitator,1.0,2022,"Wolfe's Pond Park, Staten Island, NY"
2022-06-10 09:00:00,Manhattan,Central Park,84th & 5th Ave,raccoon,Native,Healthy,Small Mammals-RVS,Advised/Educated others,1.0,2022,"Central Park, Manhattan, NY"
2022-06-10 09:30:00,Brooklyn,Kaiser Park,On field north of restrooms,brant,Native,Injured,Birds,Monitored Animal,1.0,2022,"Kaiser Park, Brooklyn, NY"
2022-06-10 09:30:00,Brooklyn,Kaiser Park,field by bathrooms,brant,Native,Injured,Birds,Relocated/Condition Corrected,1.0,2022,"Kaiser Park, Brooklyn, NY"
2022-06-10 10:00:00,Manhattan,Riverside Park,Westend Avenue & 86th Street,peregrine falcon,Native,Healthy,Raptors,Advised/Educated others,1.0,2022,"Riverside Park, Manhattan, NY"
2022-06-10 11:30:00,Brooklyn,"2930 w fifth st, Coney Island","2930 w fifth st, Coney Island",peregrine falcon,Native,Injured,Raptors,Unfounded,0.0,2022,"2930 w fifth st, Coney Island, Brooklyn, NY"
2022-06-10 12:00:00,Staten Island,Blue Heron Park,Blue Heron Nature Center,american robin,Native,Healthy,Birds,ACC,2.0,2022,"Blue Heron Park, Staten Island, NY"
2022-06-10 14:00:00,Manhattan,Central Park,1234 5th Ave / Arsenal North,red-tailed hawk,Native,Healthy,Raptors,Relocated/Condition Corrected,1.0,2022,"Central Park, Manhattan, NY"
2022-06-10 14:00:00,Staten Island,Wolfe's Pond Park,In path near newly planted trees between the two main lawns,killdeer,Native,Healthy,Birds,Advised/Educated others,1.0,2022,"Wolfe's Pond Park, Staten Island, NY"
2022-06-11 11:20:00,Staten Island,Lyons Pool Recreation Center,Above doorway of womens lockerroom,barn swallow,Native,Healthy,Birds,Advised/Educated others,2.0,2022,"Lyons Pool Recreation Center, Staten Island, NY"
2022-06-11 11:20:00,Staten Island,Lyons Pool Recreation Center,water filtration room,groundhog,Native,Healthy,Small Mammals-non RVS,Advised/Educated others,0.0,2022,"Lyons Pool Recreation Center, Staten Island, NY"
2022-06-11 13:30:00,Queens,Alley Pond Park,Linneas Playground,dog,Domestic,,Domestic,Unfounded,0.0,2022,"Alley Pond Park, Queens, NY"
2022-06-11 14:12:00,Queens,Forest Park,Dry Harbor Playground,raccoon,Native,Healthy,Small Mammals-RVS,Advised/Educated others,1.0,2022,"Forest Park, Queens, NY"
2022-06-11 15:00:00,Brooklyn,Prospect Park,Prospect Park East Drive,american robin,Native,Injured,Birds,Relocated/Condition Corrected,1.0,2022,"Prospect Park, Brooklyn, NY"
2022-06-11 16:00:00,Staten Island,Blue Heron Park,Poillon Avenue,common snapping turtle,Native,Healthy,Terrestrial Reptile or Amphibian,Relocated/Condition Corrected,1.0,2022,"Blue Heron Park, Staten Island, NY"
2022-06-12 12:30:00,Brooklyn,Plumb Beach,"National Park Property, Coast and coastal waters",pygmy sperm whale,Native,Unhealthy,"Marine Mammals-whales,  Dolphin",Monitored Animal,1.0,2022,"Plumb Beach, Brooklyn, NY"
2022-06-12 14:30:00,Manhattan,Central Park,"North end of the reservoir, just west of the North pumphouse",canada goose,Native,Injured,Birds,Rehabilitator,2.0,2022,"Central Park, Manhattan, NY"
2022-06-13 08:45:00,Brooklyn,Prospect Park,Entrance at 16th Street and Prospect Park West,raccoon,Native,Injured,Small Mammals-RVS,ACC,1.0,2022,"Prospect Park, Brooklyn, NY"
2022-06-13 09:20:00,Brooklyn,Sheepshead Playground,School Yard Fence,cat,Domestic,Healthy,Domestic,Relocated/Condition Corrected,1.0,2022,"Sheepshead Playground, Brooklyn, NY"
2022-06-13 12:45:00,Brooklyn,Green Central Knoll,North corner of the park by the benches.,chukar,Domestic,Unhealthy,"Birds, Domestic",ACC,1.0,2022,"Green Central Knoll, Brooklyn, NY"
2022-06-13 18:15:00,Staten Island,Ingram Woods,Perimeter of park on Purdy Ave,wild turkey,Native,Injured,Birds,Rehabilitator,1.0,2022,"Ingram Woods, Staten Island, NY"
2022-06-14 11:00:00,Bronx,Van Cortlandt Park,Golf House,raccoon,Native,Healthy,Small Mammals-RVS,Relocated/Condition Corrected,1.0,2022,"Van Cortlandt Park, Bronx, NY"
2022-06-14 11:15:00,Queens,Kissena Park,Near Kissena Pond,red-eared slider,Invasive,Healthy,Terrestrial Reptile or Amphibian,Relocated/Condition Corrected,2.0,2022,"Kissena Park, Queens, NY"
2022-06-14 12:00:00,Manhattan,Central Park,East Side of Reservoir around 92nd Street,canada goose,Native,Healthy,Birds,Relocated/Condition Corrected,1.0,2022,"Central Park, Manhattan, NY"
